id;name;alias;description;parent_id
1;JBOD Decentralized;structure Accountability gold;copy Program azure;29838
2;Senior Chief;Electronics Small;FTP Japan connecting;15297
3;card;primary Pants;methodologies backing Senior;46960
4;quantify;IB Chilean;ivory CSS;38025
5;Fresh;compressing target;AGP Computer;67971
6;Hungary Computer Quality;Bedfordshire navigate;Shoes Music Market;69137
7;Concrete Internal virtual;广东省 Rubber optical;Quality navigating;20246
8;桥 ADP Reactive;Bhutan Principal;copying;80801
9;programming HTTP Soft;街 online;National experiences intranet;72381
10;Guinea;Metal 新疆 Centralized;Borders Leone;94712
