id;create_user_id;title;label;classify;content;likes;replynumber;create_time;update_time
1;19758;compelling Account;34147;36047;compelling;36390;38876;2022-03-17;2022-03-17
2;29696;Loan Investor input;77992;5851;Representative;60950;91831;2022-03-17;2022-03-17
3;14636;indexing;71432;95518;feed;28567;98778;2022-03-17;2022-03-17
4;85438;cross-platform Account Computers;82329;82251;Home cohesive Soap;47635;13340;2022-03-17;2022-03-17
5;1628;synthesizing;86623;67130;Borders product;53728;76771;2022-03-18;2022-03-17
6;88924;Books e-services;88268;6125;Buckinghamshire Marketing;43683;18734;2022-03-17;2022-03-17
7;6938;Rufiyaa convergence;95252;86539;Shirt primary;46346;6136;2022-03-17;2022-03-17
8;17224;circuit 侬;16054;62824;partnerships;83176;93358;2022-03-17;2022-03-17
9;68550;Assistant Kiribati;58922;66670;niches;42734;12201;2022-03-18;2022-03-17
10;20669;Investor;22378;19312;attitude-oriented overriding Engineer;68586;52633;2022-03-17;2022-03-17
